date,signature,mint,traderPublicKey,txType,initialBuy,bondingCurveKey,vTokensInBondingCurve,vSolInBondingCurve,marketCapSol,link
2024-06-20T13:26:11.981Z,cQMB8Xfw7BG7h6fCT7P82HiaaVnECQ3MLAZZR74KXzF2cx4ECaiQDhVhejAHQuBngWfdpzwQR4G2zsWjii5ChVu,9PsHVtdg2HTwgkmid5L72pPuJWLbLY6AapeiX4yApump,5zmrtFTPUSjXv8uxzUEEwseMggP7dAmmea1Kyg3oFMvA,create,67062499.999999,CQ2vqLSkm8fpuo6Vt1DA8EX1KM8fGrim6kH3Dgk79ddm,1005937500.000001,31.999999999999968,31.811121466293816,https://photon-sol.tinyastro.io/en/lp/9PsHVtdg2HTwgkmid5L72pPuJWLbLY6AapeiX4yApump
2024-06-20T13:26:12.033Z,5csxZgFW6uMRPPkH4iREQ3MJUXzCgbhiAH8MYJV42JJfLYmWxrYfs6Wz1YERtZcH9fR9XkKCt9aXL5kokQrSeN98,3uyvgyVA7MFQZ2o3fNSKpkKw26NYpNdCTCsy5Sozpump,Do54Z7yCbpyVnLkiry2XH19X5Bwcgt2gVbk3BwW6HrHU,create,63909090.90909,3thuSP5hbkktPXLCoCkjB79VLmMDxqr6b9Fc3PnM3eT7,1009090909.09091,31.899999999999974,31.61261261261256,https://photon-sol.tinyastro.io/en/lp/3uyvgyVA7MFQZ2o3fNSKpkKw26NYpNdCTCsy5Sozpump
2024-06-20T13:26:39.128Z,23T7pGsn3yYZF44hAPDwH3Jkbu1Z8CnfnPq4g7oiSh7BsmqANbFg3bwk75AkyC4m3tycFLZCyuKa3w4QG2tVNjwu,CBaiNjvH5oSGNwDyiUadYwynwTw1NLduWgWsLZeyGki6,4nSp2sry2B6LzvTaXuXvDEXXG1A61STXXJKASGLEujrK,create,14118421.052167,gtSf9jdHZRtyXvTTqR2m7u3DE41tihNCoWbuo5E5csH,1058881578.947833,30.399999999986665,28.70953712330504,https://photon-sol.tinyastro.io/en/lp/CBaiNjvH5oSGNwDyiUadYwynwTw1NLduWgWsLZeyGki6
2024-06-20T13:26:44.135Z,3RaeA6YoLDKorj4W1jmToujeCVfmeK3jF949TiNx3Xra3u8QDJUMVZhFyaSDRMUACTQ7T5uXo8Hjh6SMxWPpX75g,9iLzDihgBwZMMbYBZ2PZfqVyCYgc7PmFqXMpE9pKpump,F7XFcka8oZfGTxxXzUcBNoLbkP3SfPtoJFnCZfumtpHs,create,67062499.999999,2XB3PTg53eZE7SeTMCFvwen15aMofSoMq44Pbs4Ue9a5,1005937500.000001,31.999999999999968,31.811121466293816,https://photon-sol.tinyastro.io/en/lp/9iLzDihgBwZMMbYBZ2PZfqVyCYgc7PmFqXMpE9pKpump
2024-06-20T13:26:44.236Z,5818rXAP3qv6mzJbdRwozDUTBrLuaW44oRuNjR1Pv4v8EQ8D2vGWtz6e2H1cHBv88YjJnaZfPxpP6bLumC4ytCdx,4c6CyaPhXqGgFj5zQjJACbPLEKoQ56WiETp5cPTdFiF6,AkMzjP8mysdGBAZwTFbzme2UKuUDQJCsH1bFAp8tPXTP,create,67062499.999999,3vc7rf2zBnWodAKMWPULdXNzgHsthFRC3xsfQ2fKA8sZ,1005937500.000001,31.999999999999968,31.811121466293816,https://photon-sol.tinyastro.io/en/lp/4c6CyaPhXqGgFj5zQjJACbPLEKoQ56WiETp5cPTdFiF6
2024-06-20T13:26:44.259Z,5AUcEmnNpoCTFsPNNDSaUUMz6FsdtrVpLh122xsaDCaRTV1EmNUvygFN8Jg4DfsKeX6gqQFF5Ww2nGdhheKkhxyk,4QairpjVjzvgNDqtMiuNm4AJcZmHMJ1tACLKU9j84cnX,EzJujB7fQ5xhcPgbf1tcTADyNPd9RjamALdsQaAu6Ku7,create,34612903.225806,2opmdAp4CyhYdVU3jX3NVyuAmDpC1Rt51BwFYgsGFF3P,1038387096.774194,30.999999999999986,29.853991922957412,https://photon-sol.tinyastro.io/en/lp/4QairpjVjzvgNDqtMiuNm4AJcZmHMJ1tACLKU9j84cnX
2024-06-20T13:26:56.587Z,HwUeCXcCWkpSqNxY8vDzy27H4KcHMJCpCyAsGS91z3zyG5Wxds4ahwzNdy6J14mguT4GsS39b3cndkV5QsXq4Ua,GufqAV8DZCrMvPggZ28KiVBFYeG9tVqmZqaBiSghpump,BPspjwoQ8747MtyAXzDo385CFEDwd5wxBo9k8SLzVMSB,create,34612903.225806,6rwyGh2g58RwMLFy8TQG85MTVMRJHernYfPwnpjdSWTF,1038387096.774194,30.999999999999986,29.853991922957412,https://photon-sol.tinyastro.io/en/lp/GufqAV8DZCrMvPggZ28KiVBFYeG9tVqmZqaBiSghpump
2024-06-20T13:26:58.519Z,2xkqRa4YQGSM5dF1kkR1yK7ggDHftKMfFq9nsZxQze2Nc3CaBDVe8ZqsEHznNvX8MfvtLB8GDUEQ8FehLHXHF4mv,XaY29nuZU3v8V8DmVZrBkQfKN8B96VaBw57vkSHwQLH,8Pk9GkV3dnCk52rRMhhk9MWMGZfXp5uv59NnN1ewC8XC,create,67062499.999999,FGdkUgcJhxxixBeYbY9idwR4567zsh27pN7TPVvPyE2t,1005937500.000001,31.999999999999968,31.811121466293816,https://photon-sol.tinyastro.io/en/lp/XaY29nuZU3v8V8DmVZrBkQfKN8B96VaBw57vkSHwQLH
2024-06-20T13:27:00.140Z,2pg2dcrQvgQdr5THsmBRUJdMxXsX9XH5Ckc42fsXYn1VqjjWJXZGAEiXcNaNKzhfydxZXD1E9m939FRvQmqWp4ge,4nzLY61iWzs1dbT2xcVJakAWTfcYSQFKdg9Riif8pump,2Sbz3UnmWUnvtWKZohrxvLJVHiJk2d7EQ5HAYV1EvhRk,create,97545454.545454,5owPRHwWaZ8smpPJwRh2SVL9XDLxMmUSKzXHEKrxyocE,975454545.454546,32.999999999999986,33.830382106244144,https://photon-sol.tinyastro.io/en/lp/4nzLY61iWzs1dbT2xcVJakAWTfcYSQFKdg9Riif8pump
2024-06-20T13:27:00.153Z,JYd85Ph8sb69fMt7d4zhsQJquqCmNg7CsicKXK9ngTgexAZznZcTWE4tw73iHWX6uRriNXhnQycBFqNWwb6Q4Qy,6whbSWqUpWgnFhGG77j9bmH6zb13GA4j2bd2Xt4hpump,B2xCHqdMrmR6yBVCwy79YaQMJM3E3HszwpvoY1ghas54,create,67062499.999999,7qw4CicJyPfz3aLYK4v78jmrcZ7UGZkBcFnue4dhy9Jp,1005937500.000001,31.999999999999968,31.811121466293816,https://photon-sol.tinyastro.io/en/lp/6whbSWqUpWgnFhGG77j9bmH6zb13GA4j2bd2Xt4hpump
